Kwartal;Rok;CPI;po wyłączeniu cen administrowanych;po wyłączeniu cen najbardziej zmiennych;po wyłączeniu cen żywności i energii;15% średnia obcięta;CPI;po wyłączeniu cen administrowanych;po wyłączeniu cen najbardziej zmiennych;po wyłączeniu cen żywności i energii;15% średnia obcięta
2017;1;101.9666667;102.1;101.1333333;100.7666667;101.4666667;100.0666667;100.0666667;100.2333333;100.2333333;100.1
2017;2;101.6666667;101.7;101.3;100.7666667;101.5;99.83333333;99.8;100.0333333;99.9;100.0666667
2017;3;102.2666667;102.4;101.6;100.9;101.8666667;100.4666667;100.5333333;100.2666667;100.1666667;100.2
2017;4;101.8;101.9333333;101.3666667;100.9;101.4666667;100.1;100.0666667;100.0666667;100;100.1333333
2018;1;101.5333333;101.7;101.1;100.6;101.4333333;100.2;100.2333333;100.1666667;100.1333333;100.1
2018;2;102;102.1333333;101.1666667;100.7;101.6333333;99.96666667;99.93333333;100.0666667;100.0333333;100.1
2018;3;101.6666667;101.6333333;101.4;100.8;101.6666667;100.2;100.2;100.1666667;100.0666667;100.1666667
2018;4;101;101.1;101.1666667;100.8;101.3666667;100.0666667;100.1333333;99.96666667;100.0666667;100.1333333
2019;1;102.1;102.2333333;101.7;101.6;101.9666667;100.5333333;100.6;100.4333333;100.3666667;100.3333333
2019;2;102.8;102.9333333;102.2333333;102.1;102.1;100.1;100.1;100.1666667;100.2333333;100.1333333
2019;3;102.5666667;102.7333333;102.5333333;102.4666667;102;100.1;100.0666667;100.3333333;100.1666667;100.1666667
2019;4;104.1333333;103.8;103.1;103.2666667;103.1;100.8;100.6333333;100.3333333;100.4333333;100.5
2020;1;103.6333333;102.7333333;103.4333333;103.6666667;103.4;99.96666667;99.9;100.3666667;100.4;100.3
2020;2;103.0666667;102.1333333;103.4333333;104.1333333;103.3333333;100.1;100.1;100.0666667;100.3;100.1333333
2020;3;103.1;102.1666667;103.0333333;104.2666667;103.1;100.1333333;100.1333333;100.2;100.3;100.1333333
2020;4;102.4666667;101.5333333;102.6666667;103.7666667;102.5333333;100.6333333;100.5;100.2333333;100.2333333;100.3333333
2021;1;104.0666667;103.6666667;102.8;103.9333333;103.1666667;100.7;100.7666667;100.5333333;100.5;100.4333333
2021;2;104.9666667;104.6;103.3333333;103.7;103.6;100.2666667;100.2333333;100.3333333;100.2;100.3
2021;3;106.8333333;106.5;105;104.4666667;105.0333333;100.9333333;100.9333333;100.8666667;100.6;100.5666667
2021;4;108.8333333;108.4666667;107.2666667;106.0333333;106.8;100.8333333;100.5666667;101.0333333;100.8;100.7
2022;1;112.4333333;112.2666667;109.2;107.7;109.0333333;102.3333333;102.5666667;101.3333333;101.1;101.2333333
2022;2;115.7333333;116.1666667;111.8333333;109.4333333;111.4666667;100.9333333;101;100.9;100.6666667;100.8
2022;3;117.5333333;118.2;114.3333333;111.0333333;113.9;101.3666667;101.4;101.4;101.0333333;101.1
2022;4;117.2;117.1666667;114.9666667;111.7333333;115.5333333;101.2666667;100.8;101.6333333;100.9333333;101
2023;1;114.6;113.9333333;115.4;112;114.4333333;100.6;100.6666667;100.9666667;100.9666667;100.7333333
2023;2;110.8;109.6;113.6;110.5666667;111.9333333;99.93333333;99.9;99.96666667;100.2666667;100.1333333
